filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0005_2CH_ES_gt.png,80.8341,89.4014,2012.4611,76.8855,89.4014
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0003_4CH_ED_gt.png,89.4624,94.4382,1392.8389,76.1073,94.4382
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0004_4CH_ED_gt.png,88.7644,94.0478,1204.1594,75.6760,94.0478
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0001_4CH_ED_gt.png,85.3416,92.0911,2630.5894,68.8494,92.0911
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0005_4CH_ED_gt.png,83.9531,91.2766,2308.6792,72.8187,91.2766
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0005_4CH_ES_gt.png,80.9205,89.4542,1581.1388,76.6511,89.4542
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0002_2CH_ES_gt.png,83.3849,90.9398,2459.6748,73.3109,90.9398
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0004_4CH_ES_gt.png,82.0562,90.1438,2302.1729,71.9912,90.1438
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0004_2CH_ES_gt.png,91.0581,95.3198,1414.2136,76.1506,95.3198
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0005_2CH_ED_gt.png,85.4466,92.1523,2102.3796,72.9094,92.1523
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0004_2CH_ED_gt.png,90.9688,95.2709,2529.8223,74.0654,95.2709
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/clip_seg/full_train_reduce_lr/camus/p2/mask_1/patient0003_2CH_ES_gt.png,89.9423,94.7049,2061.5527,76.4250,94.7049
