filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0001_4CH_ED_gt.png,88.8000,94.0678,2051.8284,70.8261,94.0678
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0004_4CH_ED_gt.png,92.3577,96.0271,894.4272,77.6553,96.0271
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0004_2CH_ES_gt.png,90.7160,95.1320,1442.2205,75.9628,95.1320
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0003_4CH_ED_gt.png,92.9245,96.3325,1252.9965,78.0016,96.3325
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0001_4CH_ES_gt.png,85.7136,92.3073,2000.0000,77.6847,92.3073
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0005_2CH_ED_gt.png,85.0222,91.9048,2400.0000,72.6620,91.9048
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0001_2CH_ED_gt.png,87.8585,93.5369,1627.8820,75.5276,93.5369
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0005_4CH_ED_gt.png,84.1439,91.3893,2370.6538,72.9314,91.3893
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0004_4CH_ES_gt.png,82.5262,90.4267,2668.3328,72.2741,90.4267
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0005_2CH_ES_gt.png,85.1332,91.9697,1360.1471,79.4538,91.9697
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0002_2CH_ES_gt.png,86.8026,92.9351,1746.4248,75.3063,92.9351
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0003_4CH_ES_gt.png,89.9251,94.6953,1280.6249,80.7351,94.6953
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0002_4CH_ES_gt.png,82.7499,90.5608,2751.3633,71.9942,90.5608
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0001_2CH_ES_gt.png,83.3989,90.9481,1334.1664,77.4160,90.9481
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0004_2CH_ED_gt.png,90.0413,94.7597,2624.8809,73.5542,94.7597
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0002_2CH_ED_gt.png,86.6496,92.8474,1700.0000,70.2642,92.8474
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0003_2CH_ED_gt.png,94.6499,97.2514,1392.8389,73.3459,97.2514
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0003_2CH_ES_gt.png,90.1516,94.8208,1500.0000,76.5409,94.8208
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0005_4CH_ES_gt.png,85.3657,92.1052,1392.8389,79.3021,92.1052
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0002_4CH_ED_gt.png,88.2027,93.7316,3551.0564,70.0701,93.7316
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0006_2CH_ED_gt.png,89.8746,94.6673,1431.7821,77.6910,94.6673
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0006_2CH_ES_gt.png,76.7906,86.8718,2308.6792,78.5298,86.8718
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0007_4CH_ES_gt.png,90.6804,95.1124,1044.0306,74.3715,95.1124
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/camus/p3/mask_1/patient0007_2CH_ES_gt.png,85.9026,92.4168,2022.3749,74.1942,92.4168
