filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0001_2CH_ED_gt.png,43.2055,60.3405,15065.8555,42.3313,60.3405
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0001_4CH_ES_gt.png,39.0390,56.1555,16260.3809,41.5328,56.1555
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0001_2CH_ES_gt.png,34.9359,51.7815,16858.2324,38.2494,51.7815
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0001_4CH_ED_gt.png,53.4672,69.6790,12865.8467,46.4373,69.6790
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0002_2CH_ED_gt.png,42.4346,59.5846,12093.3867,37.0015,59.5846
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0002_2CH_ES_gt.png,36.5067,53.4870,13346.1611,35.8582,53.4870
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0002_4CH_ES_gt.png,38.3092,55.3964,15388.3076,36.8298,55.3964
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0002_4CH_ED_gt.png,48.9127,65.6931,12059.8516,42.0317,65.6931
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0003_4CH_ED_gt.png,55.0455,71.0056,6826.4189,52.6747,71.0056
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0003_2CH_ED_gt.png,46.3175,63.3109,17447.0625,39.4054,63.3109
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0003_2CH_ES_gt.png,40.6286,57.7814,15673.2256,39.5016,57.7814
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0003_4CH_ES_gt.png,43.2645,60.3981,12248.2646,46.4378,60.3981
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0004_2CH_ED_gt.png,49.9269,66.6016,14916.4336,45.3961,66.6016
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0004_2CH_ES_gt.png,47.0702,64.0105,15508.0625,44.8412,64.0105
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0004_4CH_ED_gt.png,48.6214,65.4298,16943.4355,47.0581,65.4298
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0004_4CH_ES_gt.png,49.3440,66.0810,17442.7637,47.9284,66.0810
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0005_2CH_ED_gt.png,44.0000,61.1111,13110.6826,41.8683,61.1111
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0005_2CH_ES_gt.png,31.0273,47.3600,15585.8916,34.8441,47.3600
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0005_4CH_ED_gt.png,44.3050,61.4047,14436.7588,42.9467,61.4047
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0005_4CH_ES_gt.png,22.8571,37.2093,25280.0332,24.4062,37.2093
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0006_2CH_ED_gt.png,40.1450,57.2906,16700.0000,40.3144,57.2906
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0006_4CH_ED_gt.png,45.6969,62.7287,13373.4814,45.4285,62.7287
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0006_2CH_ES_gt.png,22.8049,37.1401,17840.4043,28.7981,37.1401
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0006_4CH_ES_gt.png,25.3748,40.4783,17400.0000,32.1727,40.4783
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/camus/p0/mask_1/patient0007_2CH_ED_gt.png,46.6609,63.6310,11475.6260,40.5778,63.6310
