filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0002_2CH_ES_gt.png,81.3863,89.7381,2570.9922,72.1093,89.7381
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0001_2CH_ED_gt.png,92.6393,96.1790,824.6211,78.1698,96.1790
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0001_2CH_ES_gt.png,82.9936,90.7066,1565.2477,77.1745,90.7066
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0003_2CH_ES_gt.png,90.0074,94.7410,1843.9089,76.4611,94.7410
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0002_2CH_ED_gt.png,85.6696,92.2818,1708.8007,69.6986,92.2818
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0001_4CH_ED_gt.png,91.2509,95.4253,1843.9089,72.1836,95.4253
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0002_4CH_ES_gt.png,87.1170,93.1150,1523.1547,74.5484,93.1150
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0001_4CH_ES_gt.png,92.1962,95.9397,806.2258,81.3170,95.9397
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0002_4CH_ED_gt.png,87.8266,93.5188,1788.8544,69.8574,93.5188
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0003_2CH_ED_gt.png,94.7485,97.3034,806.2258,73.3979,97.3034
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0003_4CH_ES_gt.png,94.4929,97.1685,761.5773,83.2083,97.1685
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0003_4CH_ED_gt.png,91.0485,95.3146,894.4272,76.9837,95.3146
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0004_2CH_ES_gt.png,92.0376,95.8537,1104.5360,76.6845,95.8537
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0004_2CH_ED_gt.png,93.2203,96.4912,1711.7242,75.2857,96.4912
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0004_4CH_ED_gt.png,96.0294,97.9745,583.0952,79.6027,97.9745
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0005_2CH_ED_gt.png,90.0889,94.7861,1523.1547,75.5433,94.7861
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0004_4CH_ES_gt.png,92.5170,96.1131,894.4272,77.9605,96.1131
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0005_2CH_ES_gt.png,93.4436,96.6107,1220.6555,84.0948,96.6107
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0005_4CH_ED_gt.png,91.9458,95.8039,894.4272,77.3460,95.8039
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0005_4CH_ES_gt.png,90.6673,95.1052,1252.9965,82.3021,95.1052
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0006_2CH_ED_gt.png,91.4418,95.5296,1029.5630,78.5534,95.5296
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0007_2CH_ES_gt.png,89.8830,94.6720,1900.0000,76.4494,94.6720
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0006_2CH_ES_gt.png,88.3719,93.8270,761.5773,85.4850,93.8270
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0006_4CH_ES_gt.png,80.4861,89.1881,1612.4515,80.8825,89.1881
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0006_4CH_ED_gt.png,90.4872,95.0061,1000.0000,77.7058,95.0061
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0007_2CH_ED_gt.png,95.0649,97.4700,1044.0306,74.4168,97.4700
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0007_4CH_ED_gt.png,92.8134,96.2728,894.4272,73.3098,96.2728
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0007_4CH_ES_gt.png,93.3828,96.5782,1220.6555,75.8372,96.5782
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0008_2CH_ED_gt.png,82.5276,90.4275,3026.5491,76.0116,90.4275
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0008_2CH_ES_gt.png,66.6791,80.0089,2906.8884,72.7229,80.0089
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0009_2CH_ES_gt.png,92.7207,96.2229,806.2258,80.8853,96.2229
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0008_4CH_ED_gt.png,85.8869,92.4077,1992.4858,77.5089,92.4077
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0009_4CH_ES_gt.png,90.9370,95.2534,860.2325,80.6550,95.2534
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0008_4CH_ES_gt.png,80.6490,89.2881,1615.5494,79.8946,89.2881
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/cris/pt_on_sdm_camus_ft_on_camus_reduce_lr/p5/mask_1/patient0009_4CH_ED_gt.png,95.1165,97.4971,1140.1754,72.2196,97.4971
