filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0004_4CH_ES_gt.png,78.9234,88.2203,4100.0000,70.0677,88.2203
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0004_2CH_ED_gt.png,89.7581,94.6027,2200.0000,73.3972,94.6027
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0001_2CH_ES_gt.png,87.5253,93.3477,1300.0000,79.8156,93.3477
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0005_4CH_ED_gt.png,78.9037,88.2080,2334.5237,69.7501,88.2080
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0003_4CH_ED_gt.png,90.1219,94.8043,1170.4700,76.4734,94.8043
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0001_2CH_ED_gt.png,90.8192,95.1888,1272.7922,77.1795,95.1888
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0003_2CH_ES_gt.png,87.8549,93.5349,2863.5642,75.2550,93.5349
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0004_4CH_ED_gt.png,86.5587,92.7951,1600.0000,74.4233,92.7951
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0001_4CH_ED_gt.png,86.6922,92.8718,2137.7559,69.6301,92.8718
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0002_4CH_ED_gt.png,83.5913,91.0624,3200.0000,67.4009,91.0624
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0002_2CH_ES_gt.png,75.0522,85.7484,4110.9609,68.1196,85.7484
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0004_2CH_ES_gt.png,80.1239,88.9653,9650.9062,69.7960,88.9653
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p4/mask_1/patient0001_4CH_ES_gt.png,85.6724,92.2834,2716.6155,77.6608,92.2834
