filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0005_4CH_ES_gt.png,68.0316,80.9748,5331.0415,68.1717,80.9748
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0001_4CH_ES_gt.png,77.2633,87.1735,2912.0439,72.5508,87.1735
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0001_2CH_ES_gt.png,83.7894,91.1798,1523.1547,77.6477,91.1798
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0002_4CH_ES_gt.png,84.6737,91.7009,3649.6575,73.1343,91.7009
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0004_4CH_ES_gt.png,83.2737,90.8736,2002.4984,72.7211,90.8736
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0001_2CH_ED_gt.png,90.3501,94.9304,1523.1547,76.9212,94.9304
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0004_2CH_ES_gt.png,78.7163,88.0908,9798.4697,68.9215,88.0908
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0003_2CH_ES_gt.png,91.2841,95.4435,1581.1388,77.1636,95.4435
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0003_4CH_ES_gt.png,85.0015,91.8928,2353.7205,77.9325,91.8928
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0005_2CH_ED_gt.png,83.7178,91.1374,3244.9963,71.8946,91.1374
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0004_4CH_ED_gt.png,89.0563,94.2114,3289.3770,75.8396,94.2114
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0005_2CH_ES_gt.png,82.4475,90.3794,3306.0552,77.8635,90.3794
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0002_2CH_ES_gt.png,72.2127,83.8646,4846.6484,66.2358,83.8646
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0003_2CH_ED_gt.png,86.2873,92.6389,4031.1287,68.7335,92.6389
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0002_2CH_ED_gt.png,81.9851,90.1009,2517.9358,67.5177,90.1009
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0005_4CH_ED_gt.png,73.3809,84.6470,5277.3096,66.1891,84.6470
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0003_4CH_ED_gt.png,84.2423,91.4473,2549.5098,73.1164,91.4473
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0002_4CH_ED_gt.png,86.9885,93.0416,3400.0000,69.3801,93.0416
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0004_2CH_ED_gt.png,78.6103,88.0244,12515.9893,66.8189,88.0244
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0001_4CH_ED_gt.png,82.8962,90.6484,2140.0935,67.4066,90.6484
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/full_train_reduce_lr/sdm_camus/p3/mask_1/patient0006_2CH_ED_gt.png,89.1554,94.2669,1456.0220,77.2906,94.2669
