filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0004_2CH_ES_gt.png,87.0383,93.0700,2441.3110,73.9008,93.0700
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0003_4CH_ED_gt.png,86.2493,92.6171,1529.7058,74.2862,92.6171
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0001_4CH_ES_gt.png,77.2195,87.1456,3046.3093,72.5230,87.1456
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0005_4CH_ES_gt.png,68.7685,81.4945,3623.5339,68.6914,81.4945
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0002_4CH_ES_gt.png,80.6558,89.2923,3206.2439,70.7256,89.2923
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0003_2CH_ES_gt.png,81.3418,89.7110,3443.8350,71.4312,89.7110
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0005_4CH_ED_gt.png,80.2699,89.0552,2823.1189,70.5973,89.0552
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0001_2CH_ES_gt.png,79.1681,88.3730,4973.9316,74.8409,88.3730
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0004_2CH_ED_gt.png,85.2624,92.0450,2915.4761,70.8395,92.0450
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0004_4CH_ED_gt.png,90.6883,95.1168,1100.0000,76.7450,95.1168
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0005_2CH_ES_gt.png,77.2213,87.1467,3264.9653,74.6308,87.1467
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0005_2CH_ED_gt.png,74.6412,85.4794,5024.9380,66.2366,85.4794
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0002_2CH_ED_gt.png,75.1084,85.7850,5186.5210,63.2019,85.7850
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0003_2CH_ED_gt.png,84.2199,91.4341,3605.5513,67.5286,91.4341
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0002_2CH_ES_gt.png,81.3595,89.7218,4701.0635,72.0930,89.7218
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0004_4CH_ES_gt.png,90.9374,95.2536,1315.2947,77.1011,95.2536
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0001_2CH_ED_gt.png,85.9619,92.4511,2758.6230,74.4418,92.4511
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0003_4CH_ES_gt.png,89.6121,94.5215,1100.0000,80.5613,94.5215
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0002_4CH_ED_gt.png,84.2460,91.4495,3569.3137,67.7880,91.4495
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0001_4CH_ED_gt.png,88.0367,93.6378,2370.6538,70.3961,93.6378
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0006_2CH_ED_gt.png,81.4871,89.7994,2801.7852,72.8231,89.7994
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0006_2CH_ES_gt.png,57.5021,73.0176,4805.2056,64.6755,73.0176
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0007_2CH_ED_gt.png,83.9464,91.2727,2729.4688,68.2194,91.2727
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0006_4CH_ES_gt.png,68.1423,81.0532,3420.5261,72.7476,81.0532
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0007_2CH_ES_gt.png,81.7168,89.9386,2360.0847,71.7161,89.9386
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0007_4CH_ES_gt.png,88.5961,93.9533,2012.4611,73.2124,93.9533
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0008_4CH_ED_gt.png,61.0689,75.8296,4903.0601,60.9308,75.8296
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0007_4CH_ED_gt.png,86.5370,92.7827,3534.1194,69.8197,92.7827
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0006_4CH_ED_gt.png,83.5840,91.0581,3162.2776,73.7578,91.0581
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0010_2CH_ES_gt.png,71.9100,83.6601,2941.0884,74.4032,83.6601
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0008_2CH_ED_gt.png,79.5847,88.6320,2325.9407,74.2160,88.6320
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0008_4CH_ES_gt.png,79.9173,88.8378,2247.2205,79.4443,88.8378
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0008_2CH_ES_gt.png,48.5393,65.3555,4428.3179,58.0695,65.3555
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0009_2CH_ES_gt.png,88.2875,93.7794,1004.9875,78.4419,93.7794
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0010_2CH_ED_gt.png,90.1103,94.7979,1272.7922,77.5435,94.7979
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0009_4CH_ED_gt.png,90.8513,95.2064,2607.6809,69.9289,95.2064
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0009_2CH_ED_gt.png,87.6575,93.4228,2002.4984,69.0084,93.4228
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0009_4CH_ES_gt.png,84.5166,91.6087,2416.6091,77.0103,91.6087
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0010_4CH_ED_gt.png,84.5455,91.6257,2435.1592,77.2584,91.6257
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0010_4CH_ES_gt.png,70.5423,82.7270,2773.0847,74.7261,82.7270
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0011_2CH_ED_gt.png,81.3108,89.6922,4103.6567,67.9771,89.6922
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0011_2CH_ES_gt.png,79.1766,88.3783,3580.5027,73.4488,88.3783
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0011_4CH_ED_gt.png,89.7654,94.6067,1969.7716,69.5484,94.6067
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0012_2CH_ED_gt.png,64.2077,78.2030,5830.9521,54.8303,78.2030
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0011_4CH_ES_gt.png,91.6802,95.6596,1334.1664,78.5435,95.6596
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0012_4CH_ED_gt.png,92.8671,96.3017,1303.8405,74.0089,96.3017
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0012_4CH_ES_gt.png,87.4746,93.3189,3114.4824,78.2086,93.3189
/mnt/Enterprise/manish/models/biomedclip_seg/output_masks/cris/full_train_reduce_lr/sdm_camus/p2/mask_1/patient0013_4CH_ED_gt.png,87.2183,93.1728,4700.0000,57.7638,93.1728
